Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0xeeaeb874d093b473b392a2bd1838fbbbe41ca92cb285fd2295a1dd6c8c42fb79","Success","Deposit","41913721","2024-09-02 22:30:51","0x978f05ced39a4eafa6e8fd045fe2dd6da836c7df","Validator : NovaX","0x0000000000000000000000000000000000001000","BSC: Validator Set","0.009944785 BNB","$5.25","0"
"0xcf9b64229b4eff1dd87fcfb3f4ce87d288cae2073825cad00a0ff64700dab58b","Success","Transfer","41913721","2024-09-02 22:30:51","0xf923957b9b63034d592c1f239aae0c22279f74aa","","0x6ce421e95d7df47171cc2d2bd5c01de1c78ce3a4","","0.000226571 BNB","$0.12","0.000021"
"0x381ebaba6623c0acba603ff902c1c7bd291fe41a408fab4e1a9a2f12cbb7b254","Success","Transfer","41913721","2024-09-02 22:30:51","0xb4ecf928b3f8ce4923a8d42c71fdde04129ad78d","","0x6ce421e95d7df47171cc2d2bd5c01de1c78ce3a4","","0.000226535 BNB","$0.12","0.000021"
"0x3cf464d265ff7642db9977e0cc34c8b021d8adfa0bf877b55fb5a329bdf0e196","Success","Transfer","41913721","2024-09-02 22:30:51","0x555ee4ee1fd59852415bef5548cc66d2b14fc1ab","","0x6ce421e95d7df47171cc2d2bd5c01de1c78ce3a4","","0.000226535 BNB","$0.12","0.000021"
"0x72131013a711a4613776faa9210d374d38b32c9b394fc3a3a97b7d3fea3ba499","Success","0xd5d1bf88","41913721","2024-09-02 22:30:51","0x9cb5b53d929be3d4e176236a2f0da9e6d9bd06bd","","0x7ae852936b07ac6c151eac13d499f87840d375d1","","0 BNB","$0.00","0.00009522"
"0x701c7d776b0480666f5e89cf0c9c6107f038cb2252495012b3f0e99722bc5045","Success","0xd5d1bf88","41913721","2024-09-02 22:30:51","0x368b3741cb809b1cd27dfe302ea49b2819b4de17","","0xd7457b51517026877072b7d7f41ae568d1c2de91","","0 BNB","$0.00","0.00010482"
"0x2b2130972feadb4cfeeee871783a66270b708d5f65d0dc1f43991c367ccff960","Success","0xd5d1bf88","41913721","2024-09-02 22:30:51","0xee95b36c4f1d59d7fbfd476963f7f4939b886706","","0x4ddd9b3e60a06a74eefcbfd4253e8646c5a031d7","","0 BNB","$0.00","0.00009522"
"0xa9525c3829027f361647616ee2047300e0ce7b306a1460f0e804e6a251ebb76c","Success","0x2ebd877a","41913721","2024-09-02 22:30:51","0x45aa7c768b04cc6f893df50831b7fc19253875c3","","0xef1aa0ca17a0082e2b9c697265e43b68422f07fd","","0 BNB","$0.00","0.00017416"
"0x8b6963732390be9c04309ccc9a47cdee9a3bb6eee414f5ca9ca4d2b6d336d0b3","Success","Transfer","41913721","2024-09-02 22:30:51","0xa55f1bc7826600895e9d4c9a58d99980eaed4bcf","","0x6ce421e95d7df47171cc2d2bd5c01de1c78ce3a4","","0.000226535 BNB","$0.12","0.000021"
"0x4769028ac3bc011ac563bdd82292b143d308a5e3cc9a325eb882a39972fa3c4c","Success","Approve","41913721","2024-09-02 22:30:51","0x51822fb62d3c5102cd6c89418382a633ccd4c130","","0x0af6b105dd463ae5d6fe243c289493599cad0073","","0 BNB","$0.00","0.00004604"
